product_id,product_name,price,price_band,headset_type,core_function,brand,battery_life(hours),sales_volume,scenario
EAR001,索尼WH-1000XM5头戴式降噪耳机,2499,高,头戴式,降噪，无线蓝牙，超长续航,索尼,30,5000+,通勤
EAR002,苹果AirPods Pro 2入耳式耳机,1799,高,入耳式,降噪，无线蓝牙，防水,苹果,6,8000+,日常
EAR003,小米Redmi Buds 5半入耳式耳机,199,低,半入耳式,无线蓝牙，超长续航,小米,12,10000+,运动
EAR004,漫步者W280NB颈挂式降噪耳机,299,低,颈挂式,降噪，无线蓝牙，防水,漫步者,20,6000+,运动
EAR005,雷柏VH650游戏耳机,399,低,头戴式,游戏低延迟，有线,雷柏,/,3000+,游戏
EAR006,华为FreeBuds Pro 3入耳式耳机,1299,高,入耳式,降噪，无线蓝牙，空间音频,华为,8,7000+,通勤
EAR007,森海塞尔HD450BT头戴式耳机,999,中,头戴式,无线蓝牙，超长续航,森海塞尔,22,2000+,办公
EAR008,倍思WM02半入耳式耳机,99,低,半入耳式,无线蓝牙，快充,倍思,10,15000+,日常
EAR009,荣耀Earbuds X3半入耳式耳机,149,低,半入耳式,无线蓝牙，防水,荣耀,12,10500+,日常
EAR010,JBL T280TWS入耳式耳机,349,低,入耳式,"无线蓝牙,重低音",JBL,8,6200+,运动
EAR011,西伯利亚S21头戴式游戏耳机,249,低,头戴式,"游戏低延迟,有线,RGB灯效",西伯利亚,/,4800+,游戏
EAR012,OPPO Enco Free3入耳式耳机,599,中,入耳式,"降噪,无线蓝牙,快充",OPPO,10,5100+,日常
EAR013,vivo TWS 3入耳式耳机,799,中,入耳式,"降噪,无线蓝牙,超长续航",vivo,16,3900+,办公
EAR014,铁三角ATH-CKS500X入耳式耳机,499,低,入耳式,"重低音,有线,高解析",铁三角,/,2200+,音乐
EAR015,Skullc Dime 2半入耳式耳机,349,低,半入耳式,"无线蓝牙,防水",Skullc,6,1800+,日常
EAR016,先锋SEC-E220BT颈挂式耳机,199,低,颈挂式,"无线蓝牙,防水",先锋,8,3200+,运动
EAR017,三星Galaxy Buds2 Pro入耳式耳机,1099,高,入耳式,"降噪,无线蓝牙,空间音频",三星,6,4500+,日常
EAR018,微软Surface Earbuds入耳式耳机,899,中,入耳式,"无线蓝牙,触控",微软,10,2100+,办公
EAR019,HyperX Cloud Stinger头戴式游戏耳机,499,中,头戴式,"游戏低延迟,有线,降噪麦克风",HyperX,/,3800+,游戏
EAR020,飞利浦SHB2505颈挂式耳机,129,低,颈挂式,"无线蓝牙,超长续航",飞利浦,12,6800+,运动
EAR021,Bose QuietComfort 45头戴式耳机,2299,高,头戴式,"降噪,无线蓝牙,超长续航",Bose,24,6000+,通勤
EAR022,Anker Soundcore Life Q30头戴式耳机,459,中,头戴式,"降噪,无线蓝牙,超长续航",Anker,40,12000+,日常
EAR023,Beats Studio Pro头戴式耳机,2599,高,头戴式,"降噪,无线蓝牙,空间音频",Beats,22,4000+,音乐
EAR024,索尼WF-1000XM5入耳式耳机,1999,高,入耳式,"降噪,无线蓝牙,高解析",索尼,8,5500+,通勤
