product_id,product_name,price,price_band,headset_type,core_function,brand,battery_life(hours),sales_volume,scenario
EAR001,索尼WH-1000XM5头戴式降噪耳机,2499,高,头戴式,降噪，无线蓝牙，超长续航,索尼,30,5000+,通勤
EAR002,苹果AirPods Pro 2入耳式耳机,1799,高,入耳式,降噪，无线蓝牙，防水,苹果,6,8000+,日常
EAR003,小米Redmi Buds 5半入耳式耳机,199,低,半入耳式,无线蓝牙，超长续航,小米,12,10000+,运动
EAR004,漫步者W280NB颈挂式降噪耳机,299,低,颈挂式,降噪，无线蓝牙，防水,漫步者,20,6000+,运动
EAR005,雷柏VH650游戏耳机,399,低,头戴式,游戏低延迟，有线,雷柏,/,3000+,游戏
EAR006,华为FreeBuds Pro 3入耳式耳机,1299,高,入耳式,降噪，无线蓝牙，空间音频,华为,8,7000+,通勤
EAR007,森海塞尔HD450BT头戴式耳机,999,中,头戴式,无线蓝牙，超长续航,森海塞尔,22,2000+,办公
EAR008,倍思WM02半入耳式耳机,99,低,半入耳式,无线蓝牙，快充,倍思,10,15000+,日常
EAR009,荣耀Earbuds X3半入耳式耳机,149,低,半入耳式,无线蓝牙，防水,荣耀,12,10500+,日常
EAR010,JBL T280TWS入耳式耳机,349,低,入耳式,"无线蓝牙,重低音",JBL,8,6200+,运动
EAR011,西伯利亚S21头戴式游戏耳机,249,低,头戴式,"游戏低延迟,有线,RGB灯效",西伯利亚,/,4800+,游戏
EAR012,OPPO Enco Free3入耳式耳机,599,中,入耳式,"降噪,无线蓝牙,快充",OPPO,10,5100+,日常
EAR013,vivo TWS 3入耳式耳机,799,中,入耳式,"降噪,无线蓝牙,超长续航",vivo,16,3900+,办公
EAR014,铁三角ATH-CKS500X入耳式耳机,499,低,入耳式,"重低音,有线,高解析",铁三角,/,2200+,音乐
EAR015,Skullc Dime 2半入耳式耳机,349,低,半入耳式,"无线蓝牙,防水",Skullc,6,1800+,日常
EAR016,先锋SEC-E220BT颈挂式耳机,199,低,颈挂式,"无线蓝牙,防水",先锋,8,3200+,运动
EAR017,三星Galaxy Buds2 Pro入耳式耳机,1099,高,入耳式,"降噪,无线蓝牙,空间音频",三星,6,4500+,日常
EAR018,微软Surface Earbuds入耳式耳机,899,中,入耳式,"无线蓝牙,触控",微软,10,2100+,办公
EAR019,HyperX Cloud Stinger头戴式游戏耳机,499,中,头戴式,"游戏低延迟,有线,降噪麦克风",HyperX,/,3800+,游戏
EAR020,飞利浦SHB2505颈挂式耳机,129,低,颈挂式,"无线蓝牙,超长续航",飞利浦,12,6800+,运动
EAR021,Bose QuietComfort 45头戴式耳机,2299,高,头戴式,"降噪,无线蓝牙,超长续航",Bose,24,6000+,通勤
EAR022,Anker Soundcore Life Q30头戴式耳机,459,中,头戴式,"降噪,无线蓝牙,超长续航",Anker,40,12000+,日常
EAR023,Beats Studio Pro头戴式耳机,2599,高,头戴式,"降噪,无线蓝牙,空间音频",Beats,22,4000+,音乐
EAR024,索尼WF-1000XM5入耳式耳机,1999,高,入耳式,"降噪,无线蓝牙,高解析",索尼,8,5500+,通勤
EAR025,B&O Beoplay H100头戴式旗舰耳机,18999,高,头戴式,HiFi音质，主动降噪，无线蓝牙，触控操作,B&O,24,500+,音乐
EAR026,B&O Beoplay EX入耳式高端耳机,12999,高,入耳式,HiFi音质，主动降噪，防水，无线充电,B&O,8,800+,通勤
EAR027,森海塞尔Orpheus II头戴式静电耳机,199999,高,头戴式,静电发声，HiEnd音质，顶级降噪，有线连接,森海塞尔,/,100+,专业
EAR028,森海塞尔Momentum 4 Wireless旗舰耳机,3499,高,头戴式,HiFi音质，主动降噪，无线蓝牙，超长续航,森海塞尔,60,3000+,日常
EAR029,索尼WH-1000XM6头戴式降噪耳机,2799,高,头戴式,新一代降噪，空间音频，无线蓝牙，快充,索尼,40,4500+,通勤
EAR030,索尼WF-1000XM6入耳式降噪耳机,2299,高,入耳式,新一代降噪，空间音频，防水，无线充电,索尼,12,4200+,日常
EAR031,索尼IER-M9入耳式监听耳机,8999,高,入耳式,专业监听，HiFi音质，有线连接，高解析,索尼,/,800+,专业
EAR032,Bose QuietComfort Ultra头戴式耳机,3299,高,头戴式,空间音频，主动降噪，无线蓝牙，舒适佩戴,Bose,24,3800+,通勤
EAR033,Bose QuietComfort Earbuds II入耳式耳机,1999,高,入耳式,主动降噪，防水，无线蓝牙，触控操作,Bose,6,5200+,运动
EAR034,苹果AirPods Max头戴式耳机,4399,高,头戴式,空间音频，主动降噪，无线蓝牙，MagSafe充电,苹果,20,2800+,日常
EAR035,苹果AirPods 4半入耳式耳机,1299,高,半入耳式,无线蓝牙，MagSafe充电，防水，语音控制,苹果,6,7500+,日常
EAR036,华为FreeBuds Pro 4入耳式耳机,1499,高,入耳式,主动降噪，空间音频，无线蓝牙，快充,华为,8,6800+,通勤
EAR037,华为FreeBuds Studio头戴式耳机,2499,高,头戴式,主动降噪，空间音频，无线蓝牙，超长续航,华为,24,3200+,办公
EAR038,小米Buds 4青春版半入耳式耳机,89,低,半入耳式,无线蓝牙，基础降噪，防水，长续航,小米,8,18000+,日常
EAR039,漫步者LolliPods Mini半入耳式耳机,79,低,半入耳式,无线蓝牙，轻量化，防水，长续航,漫步者,7,22000+,日常
EAR040,荣耀Earbuds X2青春版半入耳式耳机,69,低,半入耳式,无线蓝牙，基础降噪，防水，长续航,荣耀,6,15000+,日常
EAR041,雷蛇北海巨妖V3专业版头戴式游戏耳机,1299,高,头戴式,游戏低延迟，RGB灯效，降噪麦克风，7.1声道,雷蛇,20,3500+,游戏
EAR042,罗技G Pro X头戴式游戏耳机,899,中,头戴式,游戏低延迟，Blue VO!CE麦克风，7.1声道,罗技,24,4200+,游戏
EAR043,铁三角ATH-M50x头戴式监听耳机,1299,高,头戴式,专业监听，高解析，有线连接，可换线,铁三角,/,2800+,专业
EAR044,AKG K702头戴式监听耳机,1899,高,头戴式,专业监听，HiFi音质，有线连接，开放式设计,AKG,/,1500+,专业
EAR045,JBL Endurance Peak 3入耳式运动耳机,599,中,入耳式,防水防尘，无线蓝牙，运动稳固佩戴，长续航,JBL,30,5800+,运动
EAR046,Shokz OpenRun Pro骨传导运动耳机,1299,高,骨传导,骨传导技术，开放聆听，防水，长续航,Shokz,10,4800+,运动
EAR047,红米Buds 4青春版半入耳式耳机,129,低,半入耳式,"无线蓝牙,69ms游戏延迟,18小时续航",小米,18,8900+,学生
EAR048,红米Buds 6青春版半入耳式耳机,169,低,半入耳式,"无线蓝牙,竹纤维振膜,快速配对",小米,20,7500+,日常
EAR049,OPPO Enco Air3 Pro半入耳式耳机,179,低,半入耳式,"无线蓝牙,12mm动圈,35dB降噪",OPPO,19,6800+,通勤
EAR050,漫步者Lolli Pro2半入耳式耳机,299,中,半入耳式,"无线蓝牙,-42dB降噪,LDAC编码",漫步者,28,5700+,音乐
EAR051,漫步者Lolli Pro3半入耳式耳机,499,中,半入耳式,"无线蓝牙,动铁+动圈双单元,Hi-Res认证",漫步者,30,4300+,音质
EAR052,荣耀Earbuds X5半入耳式耳机,399,中,半入耳式,"无线蓝牙,45小时续航,蓝牙5.4",荣耀,45,6900+,日常
EAR053,OPPO Enco X3入耳式耳机,599,中,入耳式,"无线蓝牙,丹拿联合调音,仿皮革设计",OPPO,30,4800+,音乐
EAR054,华为FreeBuds SE2半入耳式耳机,599,中,半入耳式,"无线蓝牙,自适应降噪,40小时续航",华为,40,6100+,长途
EAR055,绿联T3半入耳式耳机,199,低,半入耳式,"无线蓝牙,25dB降噪,IPX5防水",绿联,20,4900+,通勤
EAR056,绿联HiTune X6入耳式耳机,299,中,入耳式,"无线蓝牙,-40dB降噪,LDAC编码",绿联,28,3700+,通勤
EAR057,倍思Space Q40头戴式耳机,299,中,头戴式,"无线蓝牙,降噪,40小时续航",倍思,40,5200+,日常
EAR058,迈从V9 Pro头戴式耳机,319,中,头戴式,"三模连接,53mm镀钛振膜,40小时续航",迈从,40,4600+,多场景
EAR059,索尼WF-C500入耳式耳机,399,中,入耳式,"无线蓝牙,DSEE音频增强,30小时续航",索尼,30,6400+,日常
EAR060,漫步者W820NB头戴式耳机,429,中,头戴式,"无线蓝牙,40mm镀钛振膜,30小时续航",漫步者,30,5800+,办公
